fid_1,fid,aream,area_grid,id_grid,area_seg_s,pop_seg_su,n_iA01_Den,n_iA02_Den,n_iA03_Com,n_iA05_Pre,n_iA07_Equ,n_iA08_Pro,n_iA09_Act,n_iA10_Rel,n_iA11_Com,n_iA12_Den,n_iA13_Sin,n_iB01_Cal,n_iB02_Ilu,n_iB03_Con,n_B04_Prox,n_iB05_Sup,n_iB07_Per,n_iC03_Via,n_iC04_Pro,n_iC09_Con,n_iC13_Cob,n_iD01_Cob,n_iD02_Car,n_iD03_Zon,n_iD05_Acc,n_iD06_Uso,n_iD07_Ind,n_iD08_Acc,n_iD09_Rob,n_iD10_Ten,n_iD11_Des,n_iD12_Muj,n_iD13_Est,n_iD14_Est,n_iD15_Per,n_iD16_Ind,n_iD17_Seg,Tipologia,iA01_Den_1,iA02_DenVi,iA03_Compa,iA05_PredV,iA07_Equip,iA08_ProxE,iA09_ActCo,iA10_RelaA,iA11_CompU,iA12_DenIn,iA13_Siner,iB01_CaliA,iB02_IlumV,iB03_ContA,B04_ProxVe,iB05_SupVe,iB07_PermS,iC03_ViasH,iC04_ProxT,iC09_ConEl,iC13_CobAl,iD01_CobSe,iD02_Caren,iD03_ZonRi,iD05_AccIn,iD06_UsoTi,iD07_IndCa,iD08_AccAl,iD09_Robos,iD10_Tenen,iD11_Desem,iD12_MujeT,iD13_EstUn,iD14_Estab,iD15_PercI,iD16_IndiE,iD17_SegrE,iA01_DenHa,layer,path
"1",522,77942.289999999993597,77909.339999999996508,522,67300.668149000004632,689.145513000000051,0.853316666666667,0.557337500000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.085062500000000,0.759593923248614,0.025500000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.725625000000000,0.000000000000000,0.679787500000000,1.000000000000000,0.545240000000000,0.816666666666667,1.000000000000000,0.940000000000000,1.000000000000000,0.724222222222222,1.000000000000000,1.000000000000000,0.205975000000000,,0.542182000000000,1.000000000000000,0.232800000000000,0.973526315789474,1.000000000000000,1.000000000000000,1.000000000000000,0.932911111111111,0.238100000000000,0.669730000000000,0.917777777777778,V,102.397999999999996,44.587000000000003,6.657000000000000,2.434576146814727,100.000000000000000,100.000000000000000,6.805000000000000,0.367000000000000,0.051000000000000,141.189746983823369,0.082000000000000,100.000000000000000,29.024999999999999,0.000000000000000,54.383000000000003,15.410000000000000,13.631000000000000,2.450000000000000,99.518000000000001,7.210000000000000,100.000000000000000,65.180000000000007,1.120000000000000,0.000000000000000,16.478000000000002,,0.771091000000000,94.367999999999995,0.959000000000000,92.484999999999999,4.491000000000000,48.823000000000000,25.103999999999999,83.962000000000003,83.332999999999998,66.972999999999999,0.826000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
"2",535,77942.289999999993597,77909.115000000005239,535,17470.285320999999385,11.134498000000001,0.053108333333333,0.021725000000000,0.006600000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,0.128354685937913,0.344827586206897,1.000000000000000,0.115800000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.679011111111111,1.000000000000000,0.000000000000000,0.166662500000000,1.000000000000000,0.494882000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.940177777777778,0.378800000000000,1.000000000000000,0.297614285714286,0.074070000000000,1.000000000000000,G,6.373000000000000,1.738000000000000,0.033000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,12.835468593791264,0.010000000000000,100.000000000000000,4.632000000000000,0.000000000000000,0.000000000000000,2642.277000000000044,37.762999999999998,58.161999999999999,0.000000000000000,3.210000000000000,0.000000000000000,61.110999999999997,0.000000000000000,100.000000000000000,13.333000000000000,7.640000000000000,0.747441000000000,0.000000000000000,0.000000000000000,100.000000000000000,3.774000000000000,42.308000000000000,7.576000000000000,94.736999999999995,79.167000000000002,7.407000000000000,1.035000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
"3",534,77942.289999999993597,77909.104999999995925,534,179.823722000000004,0.117471000000000,0.054441666666667,0.018150000000000,0.003800000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,1.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.833333333333333,0.000000000000000,0.000000000000000,0.715000000000000,0.059014000000000,0.000000000000000,1.000000000000000,0.789473684210526,1.000000000000000,0.370377777777778,0.000000000000000,0.987655555555556,0.297614285714286,0.200000000000000,0.000000000000000,T,6.533000000000000,1.452000000000000,0.019000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,100.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,4.820000000000000,0.000000000000000,0.000000000000000,25.000000000000000,100.000000000000000,0.000000000000000,12.850000000000000,0.529507000000000,0.000000000000000,0.000000000000000,75.000000000000000,4.292000000000000,16.667000000000002,0.000000000000000,88.888999999999996,79.167000000000002,20.000000000000000,13.920000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
"4",533,77942.289999999993597,77909.331000000005588,533,1609.708114000000023,5.926665000000000,0.306816666666667,0.124600000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,1.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.497111111111111,1.000000000000000,0.000000000000000,0.027787500000000,1.000000000000000,0.383068000000000,0.000000000000000,1.000000000000000,0.908178947368421,1.000000000000000,0.916666666666667,0.463550000000000,1.000000000000000,0.228571428571429,0.327230000000000,0.067083333333333,,36.817999999999998,9.968000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,100.000000000000000,,0.000000000000000,0.000000000000000,12100.566999999999098,92.051000000000002,0.000000000000000,0.000000000000000,5.520000000000000,0.000000000000000,44.740000000000002,4.517000000000000,100.000000000000000,2.223000000000000,9.279999999999999,0.691534000000000,0.000000000000000,0.000000000000000,86.277000000000001,5.263000000000000,41.250000000000000,9.271000000000001,95.983999999999995,84.000000000000000,32.722999999999999,3.339000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
"5",532,77942.289999999993597,77909.327999999994063,532,61685.747271000000183,234.567010000000010,0.316883333333333,0.131350000000000,0.004200000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.042333333333333,0.000000000000000,1.000000000000000,0.000000000000000,0.519944444444444,1.000000000000000,0.000000000000000,0.030787500000000,1.000000000000000,0.360358000000000,0.000000000000000,1.000000000000000,0.875663157894737,1.000000000000000,0.886911111111111,0.413650000000000,1.000000000000000,0.228571428571429,0.272770000000000,0.335833333333333,,38.026000000000003,10.507999999999999,0.021000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,100.000000000000000,100.914000000000001,0.000000000000000,0.000000000000000,258.620000000000005,77.864000000000004,0.127000000000000,0.000000000000000,5.450000000000000,0.000000000000000,46.795000000000002,6.504000000000000,100.000000000000000,2.463000000000000,9.279999999999999,0.680179000000000,0.000000000000000,0.000000000000000,83.188000000000002,5.263000000000000,39.911000000000001,8.273000000000000,94.275999999999996,84.000000000000000,27.277000000000001,2.694000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
"6",531,77942.289999999993597,77909.328999999997905,531,55872.504912999997032,183.787954000000013,0.274116666666667,0.107900000000000,0.055200000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,0.641771665121547,0.655172413793103,1.000000000000000,0.635325000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.216500000000000,0.000000000000000,1.000000000000000,0.474842105263158,0.522444444444444,1.000000000000000,0.000000000000000,0.214950000000000,,0.488290000000000,0.000000000000000,0.851200000000000,0.843168421052632,1.000000000000000,0.836311111111111,0.831250000000000,1.000000000000000,0.228571428571429,0.298770000000000,0.883750000000000,M,32.893999999999998,8.632000000000000,0.276000000000000,6.935297448449243,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,64.177166512154741,0.019000000000000,100.000000000000000,25.413000000000000,0.000000000000000,0.000000000000000,259.951999999999998,61.323000000000000,5.567000000000000,0.000000000000000,5.690000000000000,45.109999999999999,47.020000000000003,2.838000000000000,100.000000000000000,17.196000000000002,,0.744145000000000,0.000000000000000,0.186000000000000,80.100999999999999,5.263000000000000,37.634000000000000,16.625000000000000,90.120999999999995,84.000000000000000,29.876999999999999,1.379000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
"7",530,77942.289999999993597,77909.331000000005588,530,62028.176640999998199,31.635199000000000,0.042500000000000,0.019775000000000,0.118200000000000,1.000000000000000,0.000000000000000,0.002862500000000,0.000000000000000,0.000000000000000,0.346500000000000,,1.000000000000000,1.000000000000000,0.666200000000000,0.000000000000000,0.002712500000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.942857142857143,1.000000000000000,0.699922222222222,1.000000000000000,0.240233333333333,0.499850000000000,,0.527520000000000,0.000000000000000,0.752800000000000,0.886884210526316,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.228571428571429,0.611780000000000,0.963750000000000,D,5.100000000000000,1.582000000000000,0.591000000000000,0.000000000000000,0.000000000000000,0.229000000000000,0.000000000000000,0.000000000000000,0.693000000000000,,0.037000000000000,100.000000000000000,58.344999999999999,0.000000000000000,0.217000000000000,1077.056000000000040,43.734000000000002,22.754999999999999,0.000000000000000,7.200000000000000,100.000000000000000,62.993000000000002,0.046000000000000,78.379000000000005,39.988000000000000,,0.763760000000000,0.000000000000000,0.309000000000000,84.254000000000005,5.263000000000000,52.113999999999997,27.320000000000000,96.992000000000004,84.000000000000000,61.177999999999997,1.187000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
"8",615,77942.289999999993597,77908.663000000000466,615,33689.036281000000599,11.837835000000000,0.029283333333333,0.011237500000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,1.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,0.620155555555556,1.000000000000000,0.000000000000000,0.121950000000000,0.978000000000000,0.411842000000000,0.000000000000000,1.000000000000000,0.898589473684210,1.000000000000000,1.000000000000000,0.416650000000000,0.994155555555556,0.228571428571429,0.157890000000000,0.950000000000000,,3.514000000000000,0.899000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,100.000000000000000,,0.000000000000000,0.000000000000000,5813.073000000000320,88.326999999999998,0.000000000000000,0.000000000000000,6.230000000000000,100.000000000000000,55.814000000000000,4.651000000000000,100.000000000000000,9.756000000000000,10.220000000000001,0.705921000000000,0.000000000000000,0.000000000000000,85.366000000000000,5.263000000000000,45.311999999999998,8.333000000000000,89.474000000000004,84.000000000000000,15.789000000000000,1.220000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
"9",614,77942.289999999993597,77908.669999999998254,614,76533.268095999999787,26.887632000000000,0.029275000000000,0.011675000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,1.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,0.615277777777778,1.000000000000000,0.000000000000000,0.124650000000000,0.883000000000000,0.515262000000000,0.000000000000000,1.000000000000000,0.898757894736842,1.000000000000000,1.000000000000000,0.491950000000000,0.996855555555555,0.228571428571429,0.159750000000000,0.970416666666667,,3.513000000000000,0.934000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,100.000000000000000,,0.000000000000000,0.000000000000000,2675.735000000000127,92.343999999999994,0.000000000000000,0.000000000000000,5.750000000000000,100.000000000000000,55.375000000000000,4.300000000000000,100.000000000000000,9.972000000000000,11.170000000000000,0.757631000000000,0.000000000000000,0.000000000000000,85.382000000000005,5.263000000000000,45.555999999999997,9.839000000000000,89.716999999999999,84.000000000000000,15.975000000000000,1.171000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
"10",613,77942.289999999993597,77908.660999999992782,613,67708.606570000003558,256.625067000000001,0.315841666666667,0.138412500000000,0.090400000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.156000624002496,0.000000000000000,0.641777167723593,0.586206896551724,1.000000000000000,0.424675000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,0.735677777777778,1.000000000000000,0.000000000000000,0.253812500000000,,0.511962000000000,0.000000000000000,0.950400000000000,0.870178947368421,1.000000000000000,0.968311111111111,0.835450000000000,1.000000000000000,0.228571428571429,0.204840000000000,0.887777777777778,M,37.901000000000003,11.073000000000000,0.452000000000000,0.000000000000000,0.000000000000000,81.504000000000005,0.000000000000000,0.013000000000000,0.000000000000000,64.177716772359261,0.017000000000000,100.000000000000000,16.986999999999998,0.000000000000000,81.504000000000005,207.728000000000009,68.424000000000007,3.900000000000000,0.000000000000000,6.900000000000000,100.000000000000000,66.210999999999999,0.779000000000000,100.000000000000000,20.305000000000000,,0.755981000000000,0.000000000000000,0.062000000000000,82.667000000000002,5.263000000000000,43.573999999999998,16.709000000000000,93.125000000000000,84.000000000000000,20.484000000000002,0.799000000000000,,TodosIndicad_Descartados,/Users/isabelcarrasco/Desktop/SISURBANO/SISURBANO_Automatización Herramienta/06_Procesamiento/TodosIndicad_Descartados.shp|layername=TodosIndicad_Descartados
